,carat,cut,color,clarity,depth,table,x,y,z,price_predicted
60,0.55,Ideal,H,VVS2,61.7,57.0,5.28,5.26,3.25,1964.226630645879
61,0.34,Ideal,E,IF,61.7,56.0,4.46,4.48,2.76,1144.0909675554312
62,0.71,Premium,D,VVS2,60.0,58.0,5.92,5.84,3.53,4014.0028714637806
63,0.55,Good,G,SI1,63.6,61.0,5.22,5.16,3.3,1398.4740622554073
64,0.54,Ideal,G,VS2,61.5,55.0,5.24,5.27,3.23,1694.116067213541
65,1.23,Ideal,H,IF,61.3,57.0,6.87,6.92,4.23,10566.659294890931
66,0.27,Premium,E,VVS1,60.6,58.0,4.18,4.2,2.54,664.3299131732781
67,0.53,Ideal,D,VS2,61.4,56.0,5.18,5.21,3.19,1917.4326170503389
68,1.25,Ideal,G,SI2,61.1,55.0,6.95,6.99,4.26,6043.382056887522
69,0.34,Ideal,E,VVS2,62.3,57.0,4.48,4.44,2.78,974.4972009605422
70,0.36,Premium,I,VS2,62.7,59.0,4.54,4.58,2.86,626.8651324796813
71,0.34,Ideal,G,SI1,61.2,57.0,4.56,4.53,2.78,617.1054670848072
72,1.12,Good,E,SI1,64.3,57.0,6.56,6.5,4.2,5899.58788447815
73,0.3,Ideal,H,VS1,61.6,55.0,4.27,4.3,2.64,553.5651570535584
74,0.36,Ideal,D,SI1,62.0,56.0,4.61,4.55,2.84,807.006235447371
75,0.71,Ideal,F,VVS1,61.1,54.0,5.78,5.84,3.55,4000.974500576928
76,0.32,Premium,G,VS2,62.6,60.0,4.33,4.36,2.72,622.9827782379374
77,0.5,Premium,E,VS2,61.3,60.0,5.11,5.07,3.12,1589.9492190222434
78,0.51,Very Good,E,SI1,63.3,59.0,5.09,5.05,3.21,1401.3316877319512
79,0.58,Ideal,J,VS1,61.9,58.0,5.31,5.35,3.3,1459.8069876368222
80,0.3,Ideal,F,IF,62.5,54.0,4.31,4.33,2.7,875.7397443099592
81,0.39,Ideal,G,VVS1,62.3,57.0,4.7,4.64,2.91,1221.445777520405
82,0.31,Ideal,F,VS2,61.8,56.0,4.37,4.33,2.69,643.0042868992937
83,0.9,Very Good,H,VS1,60.5,63.0,6.13,6.16,3.72,4145.861999096436
84,0.81,Premium,G,SI2,61.7,57.0,5.99,5.94,3.68,2588.79079964174
85,0.7,Premium,E,SI2,61.1,61.0,5.74,5.69,3.49,2184.4328784673467
86,0.38,Very Good,J,VS2,60.5,60.0,4.64,4.68,2.82,589.3077498247154
87,0.71,Very Good,G,SI1,60.0,59.0,5.76,5.8,3.47,2339.0348574179175
88,0.71,Very Good,D,VS2,63.1,58.0,5.67,5.7,3.59,3189.452610429382
89,0.9,Very Good,H,VS1,62.1,59.0,6.09,6.14,3.8,4145.652857855021
90,0.74,Very Good,F,SI2,63.2,58.0,5.75,5.71,3.62,2286.8705984107796
91,1.5,Premium,H,VS2,62.4,59.0,7.32,7.29,4.56,10418.282295809126
92,1.5,Very Good,F,SI1,63.0,55.0,7.27,7.31,4.59,10283.950534649772
93,0.42,Ideal,F,VS1,61.0,57.0,4.87,4.84,2.96,1215.0953098233902
94,1.01,Premium,G,VS2,61.6,58.0,6.45,6.4,3.96,5388.465536055794
95,2.48,Premium,I,SI2,63.0,62.0,8.62,8.58,5.42,17582.266581802985
96,1.02,Ideal,F,VVS2,61.1,56.3,6.48,6.52,3.97,7355.233896907314
97,0.4,Ideal,D,VS2,61.3,57.0,4.77,4.75,2.92,1135.9297534951222
98,0.7,Ideal,F,SI1,61.3,57.0,5.76,5.79,3.54,2544.1663869067393
99,1.01,Good,E,VS2,62.5,58.0,6.32,6.36,3.96,5615.1304780975015
100,1.13,Very Good,I,VS2,60.7,58.0,6.72,6.75,4.09,5288.181709459777
101,1.09,Ideal,I,VS2,61.9,56.0,6.62,6.67,4.09,5144.06045066294
102,0.7,Very Good,E,VS2,62.7,58.0,5.65,5.67,3.55,2935.9031373636017
103,1.0,Premium,F,SI1,60.8,59.0,6.44,6.38,3.9,4865.0567417468765
104,1.52,Ideal,H,VS2,61.8,54.0,7.42,7.43,4.59,10986.251690445171
105,0.41,Ideal,G,VVS2,62.2,56.0,4.75,4.8,2.97,1241.4657206986722
106,0.43,Very Good,J,VS2,60.9,59.0,4.86,4.9,2.97,744.5118604870044
107,0.31,Very Good,E,SI2,60.8,61.0,4.39,4.43,2.68,466.5932533535605
108,0.33,Ideal,G,VS2,62.2,56.0,4.47,4.44,2.77,678.0646795430135
109,0.7,Premium,E,VS2,61.0,59.0,5.74,5.7,3.49,2993.9851163261424
110,0.33,Ideal,G,VVS2,62.5,54.0,4.41,4.45,2.77,829.4460273123177
111,1.16,Premium,H,SI2,62.6,57.0,6.75,6.67,4.2,4667.489363237932
112,0.51,Ideal,E,VS2,61.8,57.0,5.15,5.14,3.18,1692.5811916320092
113,1.13,Good,G,I1,63.4,58.0,6.58,6.61,4.18,2969.797619960038
114,0.52,Premium,E,VS2,62.5,60.0,5.1,5.14,3.2,1709.300293218161
115,0.23,Very Good,F,VVS2,61.4,56.0,3.94,3.97,2.43,433.4232862506483
116,0.5,Fair,F,SI1,64.7,60.0,4.99,4.84,3.18,1165.2707186223945
117,1.08,Very Good,D,VS1,60.5,58.0,6.53,6.63,3.98,7546.415540483404
118,0.3,Premium,G,VS1,62.2,59.0,4.31,4.28,2.67,595.1646373791143
119,0.48,Ideal,J,VS1,62.2,54.0,5.01,5.06,3.13,1026.5694920741425
120,1.51,Ideal,J,VS1,61.6,58.0,7.35,7.43,4.55,8948.633335615086
121,1.03,Premium,F,SI2,62.4,59.0,6.45,6.38,4.0,4346.988166856486
122,0.31,Very Good,G,VVS2,63.4,59.0,4.29,4.26,2.71,710.0930800722123
123,0.4,Ideal,G,IF,62.3,55.0,4.74,4.76,2.96,1399.824838868418
124,1.03,Ideal,E,VS2,61.7,56.0,6.45,6.54,4.01,6342.46285898909
125,1.16,Premium,J,SI1,62.5,58.0,6.73,6.67,4.19,4244.204530701165
126,1.04,Very Good,J,SI2,62.8,57.0,6.44,6.5,4.06,2859.312438827492
127,0.71,Premium,E,VS2,61.5,60.0,5.76,5.68,3.52,3077.325536900444
128,0.29,Very Good,H,VVS2,61.2,56.0,4.26,4.29,2.61,569.3375122566857
129,1.09,Ideal,G,SI2,61.2,57.0,6.68,6.63,4.07,4667.247198418824
130,0.74,Ideal,F,VS1,62.3,56.0,5.76,5.79,3.6,3505.9511190493886
131,0.42,Ideal,D,VS2,62.4,55.0,4.82,4.8,3.0,1247.0220409432852
132,0.54,Ideal,I,SI1,62.0,55.0,5.21,5.25,3.24,1177.7765058478885
133,0.51,Ideal,E,VS2,62.6,55.0,5.08,5.11,3.19,1689.8113124447627
134,1.01,Premium,F,SI2,58.8,61.0,6.53,6.46,3.82,4202.353816209603
135,1.0,Premium,H,VS2,59.4,61.0,6.51,6.46,3.85,4837.374121821739
136,1.02,Premium,H,VS2,61.0,60.0,6.5,6.46,3.95,5015.801945900456
137,0.73,Good,E,VS1,60.8,61.0,5.77,5.8,3.52,3276.9902311698793
138,1.01,Premium,H,SI2,60.3,59.0,6.51,6.45,3.91,3595.359858416804
139,0.33,Good,D,SI1,63.1,55.0,4.38,4.4,2.77,632.3200264336843
140,1.22,Ideal,F,VS1,62.3,57.0,6.79,6.83,4.24,9017.554282304214
141,0.31,Ideal,D,VS1,62.0,54.0,4.35,4.36,2.7,759.6647812288745
142,1.07,Premium,G,SI1,60.5,62.0,6.69,6.6,4.02,5212.964366067682
143,1.01,Very Good,E,VVS2,60.2,60.0,6.46,6.5,3.9,7199.824839149241
144,0.23,Very Good,F,IF,59.5,58.0,4.0,4.03,2.39,507.6347453718987
145,0.35,Very Good,D,VS1,60.9,58.0,4.54,4.56,2.77,909.8254916256192
146,0.55,Ideal,F,VVS2,60.7,56.0,5.31,5.34,3.23,2294.287061408931
147,0.9,Ideal,G,SI1,61.9,59.0,6.16,6.19,3.82,3813.8653397882063
148,0.72,Ideal,G,VVS1,62.2,57.0,5.72,5.75,3.57,3838.6435723512463
149,0.83,Very Good,E,SI1,63.5,58.0,5.93,5.98,3.78,3481.6801665042094
150,1.04,Ideal,H,SI1,61.9,57.0,6.49,6.46,4.01,4584.543831458799
151,0.71,Very Good,E,VS2,59.9,59.0,5.77,5.81,3.47,3013.8825981937603
152,0.43,Ideal,F,SI1,61.3,56.0,4.9,4.86,2.99,1019.7000862894644
153,0.33,Ideal,E,VS2,61.3,55.0,4.46,4.48,2.74,749.8017366828253
154,1.72,Fair,D,SI2,64.6,58.0,7.53,7.46,4.84,11087.01846590464
155,1.13,Ideal,G,SI1,61.8,55.0,6.71,6.75,4.16,5890.888559672714
156,0.52,Ideal,D,SI1,62.4,56.0,5.12,5.17,3.21,1597.0865438860208
157,0.3,Very Good,G,VS1,62.5,55.0,4.25,4.32,2.68,583.3194416380363
158,1.53,Premium,G,VS1,61.0,60.0,7.43,7.4,4.52,12790.67141675995
159,2.02,Fair,H,SI2,56.5,61.0,8.33,8.37,4.72,12129.170423859514
160,0.33,Premium,H,VS1,61.0,59.0,4.5,4.45,2.73,647.192305571663
161,0.7,Very Good,G,I1,61.5,63.0,5.73,5.65,3.5,1256.6268533269374
162,1.26,Premium,I,SI1,60.5,62.0,6.97,6.92,4.2,5713.527880989153
163,0.3,Premium,D,VS2,62.5,59.0,4.28,4.23,2.66,650.4418752330163
164,0.59,Very Good,H,VS1,62.1,55.0,5.37,5.41,3.35,1881.3263899516128
165,0.82,Ideal,E,SI1,62.1,55.0,5.98,6.0,3.72,3555.3571737211996
166,0.39,Very Good,G,VVS2,60.7,61.0,4.7,4.73,2.86,1080.8129534623067
167,0.31,Ideal,H,IF,62.1,54.0,4.33,4.37,2.7,793.3897951362308
168,1.26,Ideal,I,SI2,62.0,56.0,7.0,6.94,4.32,4959.443771922007
169,1.51,Very Good,F,SI2,62.7,60.0,7.25,7.32,4.57,8795.534784766396
170,0.56,Ideal,G,VS1,60.6,56.0,5.33,5.36,3.24,1946.4353323158007
171,0.31,Ideal,G,VVS1,62.5,55.0,4.34,4.33,2.71,796.8038051843347
172,0.56,Ideal,H,VVS2,60.9,57.0,5.38,5.33,3.26,2035.32932439579
173,0.96,Premium,E,SI2,58.2,58.0,6.52,6.47,3.78,3989.4099808239976
174,0.52,Very Good,E,SI1,62.7,57.0,5.1,5.14,3.21,1448.547054106781
175,1.02,Very Good,H,SI1,63.5,55.0,6.31,6.35,4.02,4211.791626432131
176,1.06,Good,I,VS1,57.5,62.0,6.71,6.83,3.9,4859.115363700951
177,1.21,Ideal,H,SI1,62.1,59.0,6.81,6.75,4.21,6107.590587907991
178,2.02,Fair,H,VS2,64.5,57.0,8.0,7.95,5.14,16099.007205752176
179,1.52,Ideal,G,VS2,62.1,56.0,7.39,7.34,4.57,12017.42571727562
180,2.03,Very Good,I,SI2,62.8,59.0,8.04,8.08,5.06,11734.66724044379
181,0.28,Good,F,VVS2,61.2,62.0,4.16,4.21,2.56,598.0267507049759
182,0.7,Fair,G,VS1,65.8,61.0,5.61,5.46,3.64,2557.572602516189
183,0.7,Ideal,G,VVS1,62.3,57.0,5.61,5.65,3.51,3630.0693239573234
184,2.32,Fair,H,I1,70.5,55.0,7.93,7.9,5.58,9586.051769894853
185,0.58,Ideal,J,VS2,60.9,57.0,5.38,5.4,3.28,1360.850755069076
186,0.54,Ideal,D,VS1,61.6,54.0,5.24,5.25,3.23,2137.812104250533
187,1.2,Very Good,I,SI1,62.9,54.0,6.75,6.77,4.25,5085.633532721271
188,0.52,Very Good,F,VS2,62.4,57.0,5.12,5.13,3.2,1615.419870048626
189,1.57,Premium,F,SI2,60.2,60.0,7.49,7.43,4.49,9744.53474417964
190,0.7,Premium,I,I1,62.3,58.0,5.69,5.55,3.51,1031.6392899487594
191,1.57,Very Good,H,SI1,62.0,60.0,7.4,7.44,4.6,9610.83124999533
192,1.02,Very Good,D,VS2,63.2,58.0,6.4,6.36,4.03,6315.963482135675
193,1.5,Premium,F,VS2,62.4,57.0,7.38,7.29,4.58,12225.837796377426
194,0.7,Very Good,E,VS1,62.7,60.0,5.59,5.64,3.52,3143.2369352343385
195,0.42,Premium,F,SI1,60.6,58.0,4.89,4.81,2.94,952.226522466436
196,2.01,Premium,H,SI1,60.0,60.0,8.16,8.13,4.89,15883.331621212394
197,0.31,Premium,G,VS1,62.2,58.0,4.38,4.34,2.71,633.3412592367227
198,0.44,Ideal,E,VVS2,61.9,56.0,4.91,4.88,3.03,1575.7349545184238
199,0.7,Ideal,D,VVS2,61.7,55.0,5.73,5.75,3.54,3977.742854354839
200,1.2,Premium,J,SI1,60.0,61.0,6.89,6.84,4.12,4544.23115195561
201,1.05,Ideal,G,VS1,62.2,57.0,6.49,6.51,4.04,6366.212034559207
202,0.7,Ideal,F,I1,62.1,57.0,5.67,5.64,3.52,1395.0666275517722
203,0.53,Premium,F,SI1,60.9,59.0,5.21,5.23,3.18,1467.5205411824961
204,1.09,Premium,H,SI2,61.2,62.0,6.63,6.58,4.04,4147.901397195311
205,0.92,Premium,E,SI2,61.8,59.0,6.19,6.11,3.8,3646.1831827261403
206,0.71,Premium,F,VS2,58.0,62.0,5.85,5.81,3.38,2949.8687264075083
207,0.57,Good,F,SI2,61.9,57.7,5.32,5.34,3.3,1346.8322150384836
208,0.71,Very Good,G,VS2,63.5,59.0,5.67,5.63,3.59,2718.8057995617037
209,0.89,Premium,G,SI1,61.1,58.0,6.24,6.17,3.79,3665.0396730320494
210,1.06,Ideal,G,SI1,62.9,56.0,6.52,6.49,4.09,5207.733877775969
211,0.86,Premium,H,SI2,61.0,58.0,6.15,6.12,3.74,2648.755673302459
212,1.1,Premium,G,VS2,60.2,58.0,6.75,6.71,4.05,6371.701349863696
213,0.7,Ideal,E,SI1,62.5,57.0,5.7,5.72,3.57,2644.5306122092034
214,1.04,Premium,G,VS1,61.5,61.0,6.56,6.51,4.02,6133.654440823653
215,0.93,Premium,E,I1,62.3,60.0,6.23,6.2,3.87,2422.383394028013
216,1.1,Premium,F,I1,59.8,61.0,6.7,6.65,3.99,3214.7371665522032
217,2.12,Premium,H,SI2,62.3,58.0,8.25,8.16,5.12,14787.84962433387
218,0.33,Ideal,F,VVS1,62.4,55.0,4.44,4.47,2.78,955.030393959652
219,0.9,Fair,I,VS2,65.8,55.0,6.05,6.01,3.97,3065.7349018113027
220,0.71,Ideal,E,VS1,62.0,57.0,5.72,5.66,3.53,3380.9217612201014
221,1.75,Ideal,G,VS2,62.1,57.0,7.73,7.69,4.79,15726.091404473269
222,0.81,Ideal,H,SI1,61.4,56.0,6.0,6.05,3.7,2858.7265385493924
223,0.75,Good,I,VVS1,63.9,61.0,5.7,5.67,3.63,3077.983337514707
224,0.4,Ideal,G,VS2,62.6,56.0,4.69,4.74,2.95,967.2288265416681
225,0.34,Ideal,G,VS2,62.1,55.0,4.49,4.46,2.78,715.5784504465314
226,0.35,Premium,F,VS2,61.8,58.0,4.48,4.52,2.78,783.7142813069381
227,1.29,Very Good,I,VS2,62.8,58.0,6.89,6.93,4.34,6757.403899399532
228,1.7,Premium,G,SI1,61.7,58.0,7.69,7.6,4.72,12555.925691253695
229,1.01,Premium,F,SI1,62.7,54.0,6.42,6.37,4.01,4954.625604850194
230,0.47,Good,D,SI1,63.8,59.0,4.9,4.88,3.12,1221.769008073657
231,0.71,Premium,E,SI1,59.2,59.0,5.86,5.83,3.46,2655.201840952273
232,1.01,Ideal,G,VS1,61.3,56.0,6.49,6.44,3.96,5939.074621982253
233,0.92,Good,J,SI2,59.0,63.0,6.3,6.35,3.73,2185.0097177378525
234,0.31,Ideal,F,VVS1,61.6,55.0,4.36,4.41,2.7,848.0422692995087
235,0.3,Ideal,G,VVS1,61.3,56.0,4.3,4.34,2.65,746.1638469925246
236,0.7,Very Good,G,SI1,62.1,58.0,5.66,5.7,3.53,2277.795032307698
237,1.01,Premium,H,IF,62.1,59.0,6.47,6.41,4.0,7115.044349138494
238,1.5,Very Good,H,SI2,62.5,60.0,7.25,7.32,4.55,7434.083339916332
239,0.9,Very Good,D,VS1,62.2,58.0,6.14,6.18,3.83,5349.327941193805
240,0.23,Good,F,VVS2,62.8,61.0,3.92,3.95,2.47,419.0185194505955
241,0.25,Good,E,VVS2,58.0,65.0,4.13,4.18,2.41,499.94712733138414
242,0.35,Ideal,F,VVS2,62.1,56.0,4.56,4.52,2.82,989.6790095132548
243,0.73,Very Good,D,SI2,60.4,59.0,5.8,5.86,3.52,2449.2741993747904
244,0.4,Very Good,G,IF,61.2,57.0,4.77,4.79,2.92,1339.9613876235057
245,0.3,Ideal,E,VS2,61.5,55.0,4.33,4.29,2.65,628.9666901912241
246,1.01,Premium,J,VVS2,62.7,59.0,6.46,6.39,4.03,4650.9834035223785
247,0.51,Ideal,D,SI2,62.5,55.0,5.12,5.15,3.21,1305.910710373507
248,1.72,Premium,F,I1,60.1,58.0,7.77,7.74,4.66,7571.689382707075
249,0.51,Good,E,SI1,64.3,54.0,5.1,5.07,3.27,1351.7682630117167
250,0.7,Ideal,E,VS1,62.2,58.0,5.67,5.71,3.54,3287.607849662705
251,0.52,Good,H,VS2,63.6,57.0,5.05,5.1,3.23,1327.5151452492935
252,1.01,Premium,F,SI2,62.2,59.0,6.41,6.38,3.98,4187.639445184844
253,0.31,Ideal,F,VS2,62.1,57.0,4.34,4.36,2.7,642.5779474652774
254,1.01,Good,G,SI1,63.6,57.0,6.33,6.37,4.04,4364.9815956309785
255,1.24,Good,E,SI1,63.5,55.0,6.82,6.86,4.35,7161.664958890025
256,1.01,Very Good,I,SI1,60.1,59.0,6.44,6.47,3.88,3673.209185917867
257,1.05,Ideal,G,VS2,61.9,57.0,6.47,6.51,4.03,5918.519126161044
258,0.9,Good,G,SI1,63.7,60.0,6.11,6.07,3.88,3516.8073605211284
259,0.56,Ideal,E,VS2,61.6,57.0,5.3,5.32,3.27,2014.1763037528565
260,0.8,Very Good,F,SI1,61.6,56.0,5.96,6.0,3.68,3131.1363677894587
261,0.3,Ideal,D,SI1,62.5,57.0,4.32,4.29,2.69,575.4234142293794
262,0.76,Ideal,H,VS2,62.7,57.0,5.82,5.86,3.66,2937.663963324676
263,1.21,Premium,H,SI1,59.8,58.0,6.95,6.9,4.14,6007.647016234366
264,1.51,Very Good,J,VS1,61.4,57.0,7.3,7.38,4.51,8562.74879127027
265,1.21,Ideal,H,VVS2,61.3,56.0,6.85,6.89,4.21,8700.928589314295
266,0.7,Ideal,F,SI1,61.5,57.0,5.67,5.74,3.51,2532.2862973037004
267,0.53,Ideal,I,VS2,62.2,56.0,5.15,5.2,3.22,1317.7779473016963
268,0.46,Ideal,E,VS1,61.9,55.0,4.94,4.97,3.06,1496.3352009427665
269,0.41,Ideal,G,IF,61.7,56.0,4.79,4.81,2.96,1463.6653091444184
270,0.37,Very Good,F,VS2,61.0,58.0,4.61,4.63,2.82,853.4519454731906
271,0.58,Ideal,F,SI2,60.9,57.0,5.4,5.44,3.3,1508.6107301506222
272,0.72,Premium,F,SI1,59.5,62.0,5.85,5.74,3.45,2616.641982032777
273,1.5,Good,G,SI1,58.4,65.0,7.45,7.41,4.34,9382.079837116127
274,1.31,Very Good,H,VS2,61.4,59.0,6.96,7.01,4.29,7888.220137448655
275,1.0,Very Good,D,SI1,62.1,58.0,6.34,6.45,3.97,5232.592798300005
276,0.41,Premium,G,VVS1,60.3,60.0,4.78,4.74,2.87,1300.0587250387205
277,0.38,Ideal,F,VVS1,61.0,57.0,4.67,4.71,2.86,1236.4586522704062
278,0.35,Premium,E,VVS1,60.7,59.0,4.58,4.55,2.77,1078.8130537531097
279,0.3,Premium,D,VS2,61.7,58.0,4.32,4.3,2.66,649.6196004190743
280,1.13,Ideal,I,VS1,61.6,54.0,6.72,6.74,4.15,5924.214694646459
281,0.37,Premium,E,VVS2,60.9,59.0,4.61,4.65,2.82,1107.7804061666332
282,0.39,Premium,G,VVS2,60.7,61.0,4.73,4.7,2.86,1102.2653795507938
283,0.5,Good,D,SI1,63.9,56.0,5.02,4.93,3.18,1373.3735109132085
284,0.31,Ideal,E,VS2,61.5,56.0,4.39,4.42,2.71,668.7677338965811
285,1.72,Good,D,SI2,63.4,62.0,7.53,7.59,4.79,11896.846925225767
286,1.27,Ideal,H,SI1,59.8,57.0,7.08,7.01,4.22,6755.845432007089
287,1.0,Good,D,VS2,62.8,61.0,6.31,6.34,3.97,5831.687660321994
288,1.59,Premium,I,VS2,59.9,60.0,7.61,7.57,4.55,10398.657787075304
289,0.38,Very Good,F,VS2,60.9,56.0,4.67,4.72,2.86,897.5431382818622
290,2.39,Ideal,J,VS1,62.1,57.0,8.53,8.57,5.31,21582.129731857964
291,1.01,Premium,F,SI1,62.2,59.0,6.36,6.41,3.97,4934.384045948629
292,0.31,Premium,H,VVS1,62.6,58.0,4.33,4.29,2.7,710.1286052539015
293,2.05,Ideal,J,VS1,61.8,58.0,8.12,8.16,5.03,16076.027959259038
294,0.7,Good,F,SI1,61.1,61.0,5.68,5.71,3.48,2335.5382870987646
295,1.01,Fair,I,I1,56.1,63.0,6.7,6.65,3.74,1831.4242563525852
296,1.55,Very Good,H,VS2,63.3,56.0,7.38,7.32,4.65,10877.60353987426
297,0.33,Premium,E,VVS1,59.7,58.0,4.49,4.52,2.69,962.5384240349457
298,1.51,Premium,E,SI1,62.9,62.0,7.31,7.21,4.57,11051.514969791382
299,0.26,Very Good,D,VVS2,59.1,59.0,4.21,4.28,2.51,595.6383119971844
300,1.01,Premium,D,SI1,59.8,54.0,6.6,6.5,3.93,5494.0442804907925
301,0.42,Very Good,D,SI1,60.2,57.0,4.85,4.89,2.93,1025.1521035004585
302,1.03,Premium,H,I1,62.9,59.0,6.41,6.3,4.0,2412.7332047423806
303,1.57,Ideal,I,SI2,62.6,58.0,7.38,7.41,4.63,7480.574010416271
304,1.01,Very Good,G,VS1,63.1,55.0,6.34,6.37,4.01,5657.598336427102
305,2.51,Premium,J,SI2,59.3,58.0,8.87,8.83,5.25,16038.988410571852
306,0.7,Very Good,D,SI1,63.2,55.0,5.62,5.65,3.56,2674.9064206695703
307,0.95,Ideal,G,VS2,61.6,56.0,6.34,6.3,3.89,4918.441084266746
308,0.32,Ideal,E,SI2,62.7,55.0,4.39,4.42,2.76,518.667928404853
309,1.25,Premium,J,SI2,62.3,59.0,6.82,6.86,4.26,4119.617014988096
